[2012-07-14 16:06:38] START
[2012-07-14 16:06:38] EDIT welcome/controllers/appadmin.py: 0
[2014-06-05 17:49:50] CREATE x10_character.py: 0
[2014-06-05 17:51:16] CREATE data.py: 0
[2014-06-05 18:06:49] EDIT gabaros2/modules/data.py: 786
[2014-06-24 14:10:47] EDIT gabaros2/modules/basic.py: 5
[2014-06-24 14:11:04] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 14:11:36] EDIT gabaros2/modules/basic.py: -1
[2014-06-24 14:11:48] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 14:13:51] EDIT gabaros2/modules/basic.py: -1
[2014-06-24 14:14:01] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 14:15:24] EDIT gabaros2/modules/basic.py: 2
[2014-06-24 14:17:12] EDIT gabaros2/modules/basic.py: 5
[2014-06-24 14:17:15] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 14:19:26] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 14:21:37] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 14:22:55] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 14:23:10] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 14:24:33] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 14:25:49] EDIT gabaros2/modules/basic.py: -5
[2014-06-24 14:26:02] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 14:46:51] EDIT gabaros2/modules/data.py: 2
[2014-06-24 14:47:20] EDIT gabaros2/modules/data.py: 0
[2014-06-24 14:49:10] EDIT gabaros2/modules/data.py: 2
[2014-06-24 14:49:21] EDIT gabaros2/modules/data.py: 0
[2014-06-24 14:49:36] EDIT gabaros2/modules/data.py: 0
[2014-06-24 14:51:51] EDIT gabaros2/modules/data.py: 0
[2014-06-24 15:06:42] EDIT gabaros2/modules/basic.py: 4
[2014-06-24 15:06:47] EDIT gabaros2/modules/basic.py: -1
[2014-06-24 15:06:50] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 15:09:40] EDIT gabaros2/models/x10_character.py: 0
[2014-06-24 15:09:48] EDIT gabaros2/models/x10_character.py: 0
[2014-06-24 15:09:59] EDIT gabaros2/models/x10_character.py: 0
[2014-06-24 15:10:23] EDIT gabaros2/models/x10_character.py: 0
[2014-06-24 15:10:38] EDIT gabaros2/models/x10_character.py: 0
[2014-06-24 15:32:35] EDIT gabaros2/modules/getter_functions.py: 4
[2014-06-24 22:39:17] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:27] EDIT gabaros2/modules/basic.py: -1
[2014-06-24 22:39:37] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:38] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:38] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:39] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:39] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:40] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:40] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:39:40] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:40:13] EDIT gabaros2/modules/basic.py: -2
[2014-06-24 22:40:19] EDIT gabaros2/modules/basic.py: 2
[2014-06-24 22:44:05] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:44:07] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:44:09] EDIT gabaros2/modules/basic.py: 0
[2014-06-24 22:44:15] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 22:44:18] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 22:44:32] EDIT gabaros2/modules/data.py: 0
[2014-06-24 22:48:57] EDIT gabaros2/modules/data.py: 0
[2014-06-24 22:49:56] EDIT gabaros2/modules/data.py: -27
[2014-06-24 22:50:08] EDIT gabaros2/modules/data.py: 0
[2014-06-24 22:50:29] EDIT gabaros2/modules/basic.py: 1
[2014-06-24 22:50:33] EDIT gabaros2/modules/basic.py: 0
[2014-06-26 22:24:56] CREATE manage_char.py: 0
[2014-06-26 22:25:15] EDIT gabaros2/controllers/manage_char.py: 9
[2014-06-26 22:26:03] CREATE manage_chars/manage_chars.html: 0
[2014-06-26 22:26:12] DELETE gabaros2/views/manage_chars/manage_chars.html: -3
[2014-06-26 22:26:23] CREATE manage_char/manage_chars.html: 0
[2014-06-26 22:28:04] EDIT gabaros2/models/x10_character.py: 0
[2014-06-26 22:37:48] EDIT gabaros2/models/x10_character.py: 0
[2014-06-26 22:38:23] EDIT gabaros2/models/x10_character.py: 0
[2014-06-26 22:38:23] EDIT gabaros2/models/x10_character.py: 0
[2014-06-26 22:38:23] EDIT gabaros2/models/x10_character.py: 0
[2014-06-26 22:39:11] EDIT gabaros2/models/db.py: 0
[2014-06-26 22:43:23] EDIT gabaros2/modules/data.py: 2
[2014-06-26 22:43:24] EDIT gabaros2/modules/data.py: 0
[2014-06-26 22:46:06] EDIT gabaros2/modules/data.py: 2
[2014-06-26 22:47:05] EDIT gabaros2/modules/data.py: 0
[2014-06-27 21:15:13] EDIT gabaros2/models/x10_character.py: 0
[2014-06-27 21:17:17] EDIT gabaros2/modules/data.py: 0
[2014-06-27 21:18:21] EDIT gabaros2/models/x30_state.py: -3
[2014-06-27 21:18:55] EDIT gabaros2/models/x30_state.py: 1
[2014-06-27 21:19:13] EDIT gabaros2/models/x30_state.py: 0
[2014-06-27 21:19:13] EDIT gabaros2/models/x30_state.py: 0
[2014-06-27 21:21:24] EDIT gabaros2/models/x30_state.py: 0
[2014-06-27 21:25:43] EDIT gabaros2/models/x30_state.py: 0
[2014-06-27 21:29:23] EDIT gabaros2/models/db.py: 0
[2014-06-27 21:29:23] EDIT gabaros2/models/db.py: 0
[2014-06-27 21:37:23] EDIT gabaros2/views/manage_char/manage_chars.html: 3
[2014-06-27 22:19:14] EDIT gabaros2/controllers/manage_char.py: 21
[2014-06-28 21:17:16] EDIT gabaros2/modules/basic.py: 0
[2014-06-28 21:17:47] EDIT gabaros2/modules/basic.py: 0
[2014-06-28 21:17:59] EDIT gabaros2/modules/basic.py: -1
[2014-06-28 21:18:04] EDIT gabaros2/modules/basic.py: 0
[2014-06-28 21:18:06] EDIT gabaros2/modules/basic.py: 1
[2014-06-28 21:18:09] EDIT gabaros2/modules/basic.py: 0
[2014-06-28 21:18:11] EDIT gabaros2/modules/basic.py: 0
[2014-06-28 21:18:16] EDIT gabaros2/modules/basic.py: 0
[2014-06-28 21:19:45] EDIT gabaros2/controllers/manage_char.py: -1
[2014-06-28 21:38:13] EDIT gabaros2/modules/basic.py: 2
[2014-06-28 21:38:49] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-28 21:39:17] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-28 21:39:22] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-28 21:40:01] EDIT gabaros2/modules/basic.py: 0
[2014-06-28 21:55:55] EDIT gabaros2/controllers/manage_char.py: 24
[2014-06-28 21:58:25] EDIT gabaros2/controllers/manage_char.py: -1
[2014-06-28 21:59:51] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-28 22:00:20] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-28 22:01:19] CREATE manage_char/edit_attributes.py: 0
[2014-06-28 22:01:25] DELETE gabaros2/views/manage_char/edit_attributes.py: 0
[2014-06-28 22:01:42] CREATE manage_char/edit_attributes.html: 0
[2014-06-28 22:02:49] EDIT gabaros2/views/manage_char/edit_attributes.html: 15
[2014-06-28 22:04:15] EDIT gabaros2/controllers/manage_char.py: 0
[2014-06-28 22:05:53] EDIT gabaros2/modules/data.py: 0
[2014-06-29 11:17:18] EDIT gabaros2/controllers/manage_char.py: 20
[2014-06-29 11:18:15] CREATE manage_char/edit_skills.html: 0
[2014-06-29 11:18:52] EDIT gabaros2/views/manage_char/edit_skills.html: 15
[2014-06-29 11:19:36] EDIT gabaros2/controllers/manage_char.py: 0
